Link;Club;League;Season;Market Value
https://www.transfermarkt.com/fc-blackpool/startseite/verein/1181/saison_id/2023;Blackpool;Premier League;2010;27.08
https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2023;Wolverhampton Wanderers;Premier League;2010;71
https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2023;West Bromwich Albion;Premier League;2010;71.25
https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071/saison_id/2023;Wigan Athletic;Premier League;2010;72
https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164/saison_id/2023;Blackburn Rovers;Premier League;2010;73.25
https://www.transfermarkt.com/birmingham-city/startseite/verein/337/saison_id/2023;Birmingham City;Premier League;2010;75.55
https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2023;Newcastle United;Premier League;2010;78.75
https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2023;Stoke City;Premier League;2010;82
https://www.transfermarkt.com/bolton-wanderers/startseite/verein/355/saison_id/2023;Bolton Wanderers;Premier League;2010;83.25
https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2023;Fulham;Premier League;2010;100.25
https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2023;Sunderland;Premier League;2010;105.25
https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2023;West Ham United;Premier League;2010;116.65
https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2023;Aston Villa;Premier League;2010;142.15
https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2023;Everton;Premier League;2010;176.4
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2023;Liverpool;Premier League;2010;275
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2023;Tottenham Hotspur;Premier League;2010;282.7
https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2023;Arsenal;Premier League;2010;303
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2023;Chelsea;Premier League;2010;360
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2023;Manchester City;Premier League;2010;360.3
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2023;Manchester United;Premier League;2010;369.5
https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2023;Norwich City;Premier League;2011;21.83
https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2023;Swansea City;Premier League;2011;29.95
https://www.transfermarkt.com/queens-park-rangers/startseite/verein/1039/saison_id/2023;Queens Park Rangers;Premier League;2011;50.18
https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164/saison_id/2023;Blackburn Rovers;Premier League;2011;65.65
https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071/saison_id/2023;Wigan Athletic;Premier League;2011;70.8
https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2023;Wolverhampton Wanderers;Premier League;2011;75
https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2023;West Bromwich Albion;Premier League;2011;76.75
https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2023;Stoke City;Premier League;2011;94
https://www.transfermarkt.com/bolton-wanderers/startseite/verein/355/saison_id/2023;Bolton Wanderers;Premier League;2011;98.1
https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2023;Newcastle United;Premier League;2011;104.8
https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2023;Fulham;Premier League;2011;106.75
https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2023;Aston Villa;Premier League;2011;116.75
https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2023;Sunderland;Premier League;2011;119.2
https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2023;Everton;Premier League;2011;171.3
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2023;Liverpool;Premier League;2011;258.75
https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2023;Arsenal;Premier League;2011;276.8
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2023;Tottenham Hotspur;Premier League;2011;301.3
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2023;Chelsea;Premier League;2011;405
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2023;Manchester United;Premier League;2011;405.3
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2023;Manchester City;Premier League;2011;443
https://www.transfermarkt.com/fc-reading/startseite/verein/1032/saison_id/2023;Reading;Premier League;2012;32.5
https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2023;Southampton;Premier League;2012;57.9
https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2023;Norwich City;Premier League;2012;66.4
https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2023;Swansea City;Premier League;2012;72
https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071/saison_id/2023;Wigan Athletic;Premier League;2012;73
https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2023;West Bromwich Albion;Premier League;2012;84
https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2023;Fulham;Premier League;2012;87.25
