Field,Image,Field1,Image2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Image10
https://www.fifaindex.com/player/140601/nemanja-vidi%C4%87/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/140601.png,https://www.fifaindex.com/players/fifa10/?nationality=51,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/51.png,88,90,Nemanja Vidić,https://www.fifaindex.com/players/fifa10/?position=5,CB,27,https://www.fifaindex.com/team/11/manchester-united/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/11.png
https://www.fifaindex.com/player/49369/fernando-torres/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/49369.png,https://www.fifaindex.com/players/fifa10/?nationality=45,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/45.png,88,91,Fernando Torres,https://www.fifaindex.com/players/fifa10/?position=30,ST,25,https://www.fifaindex.com/team/9/liverpool/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/9.png
https://www.fifaindex.com/player/13743/steven-gerrard/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/13743.png,https://www.fifaindex.com/players/fifa10/?nationality=14,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/14.png,88,91,Steven Gerrard,https://www.fifaindex.com/players/fifa10/?position=23,CAM,29,https://www.fifaindex.com/team/9/liverpool/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/9.png
https://www.fifaindex.com/player/162895/francesc-fabregas/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/162895.png,https://www.fifaindex.com/players/fifa10/?nationality=45,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/45.png,87,91,Francesc Fabregas,https://www.fifaindex.com/players/fifa10/?position=17,CM,22,https://www.fifaindex.com/team/1/arsenal/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/1.png
https://www.fifaindex.com/player/54050/wayne-rooney/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/54050.png,https://www.fifaindex.com/players/fifa10/?nationality=14,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/14.png,87,91,Wayne Rooney,https://www.fifaindex.com/players/fifa10/?position=27,CF,23,https://www.fifaindex.com/team/11/manchester-united/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/11.png
https://www.fifaindex.com/player/13732/john-terry/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/13732.png,https://www.fifaindex.com/players/fifa10/?nationality=14,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/14.png,87,90,John Terry,https://www.fifaindex.com/players/fifa10/?position=5,CB,28,https://www.fifaindex.com/team/5/chelsea/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/5.png
https://www.fifaindex.com/player/5471/frank-lampard/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/5471.png,https://www.fifaindex.com/players/fifa10/?nationality=14,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/14.png,87,88,Frank Lampard,https://www.fifaindex.com/players/fifa10/?position=23,CAM,31,https://www.fifaindex.com/team/5/chelsea/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/5.png
https://www.fifaindex.com/player/45674/micha%C3%ABl-essien/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/45674.png,https://www.fifaindex.com/players/fifa10/?nationality=117,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/117.png,86,89,Michaël Essien,https://www.fifaindex.com/players/fifa10/?position=17,CM,26,https://www.fifaindex.com/team/5/chelsea/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/5.png
https://www.fifaindex.com/player/7289/rio-ferdinand/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/7289.png,https://www.fifaindex.com/players/fifa10/?nationality=14,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/14.png,86,89,Rio Ferdinand,https://www.fifaindex.com/players/fifa10/?position=5,CB,30,https://www.fifaindex.com/team/11/manchester-united/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/11.png
https://www.fifaindex.com/player/147777/andrey-arshavin/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/147777.png,https://www.fifaindex.com/players/fifa10/?nationality=40,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/40.png,85,91,Andrey Arshavin,https://www.fifaindex.com/players/fifa10/?position=27,CF,28,https://www.fifaindex.com/team/1/arsenal/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/1.png
https://www.fifaindex.com/player/143001/carlos-t%C3%A9vez/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/143001.png,https://www.fifaindex.com/players/fifa10/?nationality=52,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/52.png,85,90,Carlos Tévez,https://www.fifaindex.com/players/fifa10/?position=27,CF,25,https://www.fifaindex.com/team/10/manchester-city/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/10.png
https://www.fifaindex.com/player/142754/javier-mascherano/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/142754.png,https://www.fifaindex.com/players/fifa10/?nationality=52,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/52.png,85,88,Javier Mascherano,https://www.fifaindex.com/players/fifa10/?position=11,CDM,25,https://www.fifaindex.com/team/9/liverpool/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/9.png
https://www.fifaindex.com/player/136144/robinho/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/136144.png,https://www.fifaindex.com/players/fifa10/?nationality=54,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/54.png,85,90,Robinho,https://www.fifaindex.com/players/fifa10/?position=20,LWM,25,https://www.fifaindex.com/team/10/manchester-city/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/10.png
https://www.fifaindex.com/player/119152/kolo-tour%C3%A9/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/119152.png,https://www.fifaindex.com/players/fifa10/?nationality=108,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/108.png,85,87,Kolo Touré,https://www.fifaindex.com/players/fifa10/?position=5,CB,28,https://www.fifaindex.com/team/10/manchester-city/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/10.png
https://www.fifaindex.com/player/48940/petr-%C4%8Dech/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/players/5/48940.png,https://www.fifaindex.com/players/fifa10/?nationality=12,https://fifastatic.fifaindex.com/FIFA21/images/flags/2/12.png,85,90,Petr Čech,https://www.fifaindex.com/players/fifa10/?position=0,GK,27,https://www.fifaindex.com/team/5/chelsea/fifa10/,https://fifastatic.fifaindex.com/FIFA10/images/teams/3/5.png
