_;wappen_URL;Club;League;League_URL;League1;Value_Nov_1_2010_URL;Value_Nov_1_2010;Current_value_URL;Current_value;_1
,1;https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2023;Arsenal FC;Premier League;;;https://www.transfermarkt.com/fc-arsenal/kader/verein/11/saison_id/2010;€303.00m;https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2023;€1.21bn;297.9 %
,2;https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2023;Manchester City;Premier League;;;https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2010;€360.30m;https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2023;€1.18bn;228.0 %
,3;https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2023;Chelsea FC;Premier League;;;https://www.transfermarkt.com/fc-chelsea/kader/verein/631/saison_id/2010;€360.00m;https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2023;€879.50m;144.3 %
,4;https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2023;Liverpool FC;Premier League;;;https://www.transfermarkt.com/fc-liverpool/kader/verein/31/saison_id/2010;€275.00m;https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2023;€846.80m;207.9 %
,5;https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2023;Manchester United;Premier League;;;https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2010;€369.50m;https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2023;€845.30m;128.8 %
,6;https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2023;Tottenham Hotspur;Premier League;;;https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2010;€282.70m;https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2023;€773.30m;173.5 %
,7;https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2023;Newcastle United;Premier League;;;https://www.transfermarkt.com/newcastle-united/kader/verein/762/saison_id/2010;€78.75m;https://www.transfermarkt.com/newcastle-united/kader/verein/762/saison_id/2023;€615.10m;681.1 %
,8;https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2023;Aston Villa;Premier League;;;https://www.transfermarkt.com/aston-villa/kader/verein/405/saison_id/2010;€142.15m;https://www.transfermarkt.com/aston-villa/kader/verein/405/saison_id/2023;€591.50m;316.1 %
,9;https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2023;Brighton & Hove Albion;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB3;League One;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2010;€5.95m;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2023;€455.65m;7558.0 %
,10;https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2023;Brentford FC;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB3;League One;https://www.transfermarkt.com/fc-brentford/kader/verein/1148/saison_id/2010;€7.15m;https://www.transfermarkt.com/brentford-fc/kader/verein/1148/saison_id/2023;€393.80m;5407.7 %
,11;https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2023;Wolverhampton Wanderers;Premier League;;;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2010;€71.00m;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2023;€367.18m;417.1 %
