_,Club_URL,Club,Expenditure,Arrivals_URL,Arrivals,Income,Departures,Balance
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2000,Arsenal FC,€56.30m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2000,23,€49.53m,20,€-6.78m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leeds-united/transfers/verein/399/saison_id/2000,Leeds United,€53.15m,https://www.transfermarkt.com/leeds-united/transfers/verein/399/w_s//pos//saison_id/2000,11,€12.33m,10,€-40.82m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2000,Chelsea FC,€52.39m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2000,24,€37.72m,19,€-14.67m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2000,Everton FC,€34.48m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2000,18,€35.55m,17,€1.07m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2000,Liverpool FC,€34.00m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2000,20,€19.61m,16,€-14.40m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-middlesbrough/transfers/verein/641/saison_id/2000,Middlesbrough FC,€33.47m,https://www.transfermarkt.com/fc-middlesbrough/transfers/verein/641/w_s//pos//saison_id/2000,22,€10.00m,16,€-23.47m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2000,Newcastle United,€25.91m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2000,21,€26.39m,22,€475k
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2000,Tottenham Hotspur,€25.74m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2000,8,€2.46m,11,€-23.29m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2000,Aston Villa,€21.12m,https://www.transfermarkt.com/aston-villa/transfers/verein/405/w_s//pos//saison_id/2000,16,€20.82m,13,€-305k
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/charlton-athletic/transfers/verein/358/saison_id/2000,Charlton Athletic,€20.80m,https://www.transfermarkt.com/charlton-athletic/transfers/verein/358/w_s//pos//saison_id/2000,15,€532k,16,€-20.27m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2000,Manchester City,€20.28m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2000,27,€1.46m,28,€-18.81m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/coventry-city/transfers/verein/990/saison_id/2000,Coventry City,€19.00m,https://www.transfermarkt.com/coventry-city/transfers/verein/990/w_s//pos//saison_id/2000,14,€26.28m,16,€7.28m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2000,West Ham United,€18.65m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2000,26,€42.40m,29,€23.75m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/saison_id/2000,Sunderland AFC,€16.87m,https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/w_s//pos//saison_id/2000,20,€5.53m,25,€-11.34m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/derby-county/transfers/verein/22/saison_id/2000,Derby County,€13.33m,https://www.transfermarkt.com/derby-county/transfers/verein/22/w_s//pos//saison_id/2000,16,€6.88m,12,€-6.45m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2000,Manchester United,€11.70m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2000,9,€9.88m,13,€-1.83m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2000,Leicester City,€11.70m,https://www.transfermarkt.com/leicester-city/transfers/verein/1003/w_s//pos//saison_id/2000,18,€9.70m,18,€-2.00m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/ipswich-town/transfers/verein/677/saison_id/2000,Ipswich Town,€9.60m,https://www.transfermarkt.com/ipswich-town/transfers/verein/677/w_s//pos//saison_id/2000,12,€4.50m,13,€-5.10m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/bradford-city/transfers/verein/1027/saison_id/2000,Bradford City,€6.61m,https://www.transfermarkt.com/bradford-city/transfers/verein/1027/w_s//pos//saison_id/2000,16,€8.94m,21,€2.34m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2000,Southampton FC,-,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2000,13,€145k,16,€145k
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2001,Manchester United,€85.85m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2001,21,€43.60m,16,€-42.25m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-fulham/transfers/verein/931/saison_id/2001,Fulham FC,€50.60m,https://www.transfermarkt.com/fc-fulham/transfers/verein/931/w_s//pos//saison_id/2001,13,€1.03m,14,€-49.58m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2001,Chelsea FC,€49.70m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2001,10,€14.32m,16,€-35.38m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leeds-united/transfers/verein/399/saison_id/2001,Leeds United,€46.30m,https://www.transfermarkt.com/leeds-united/transfers/verein/399/w_s//pos//saison_id/2001,11,€4.58m,14,€-41.73m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/blackburn-rovers/transfers/verein/164/saison_id/2001,Blackburn Rovers,€33.01m,https://www.transfermarkt.com/blackburn-rovers/transfers/verein/164/w_s//pos//saison_id/2001,21,€10.68m,25,€-22.34m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2001,Arsenal FC,€32.69m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2001,21,€12.00m,15,€-20.69m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2001,Newcastle United,€31.59m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2001,18,€888k,20,€-30.70m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2001,Liverpool FC,€31.56m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2001,7,€28.65m,9,€-2.91m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/saison_id/2001,Sunderland AFC,€29.76m,https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/w_s//pos//saison_id/2001,15,€12.89m,15,€-16.87m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2001,Tottenham Hotspur,€28.05m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2001,10,€9.75m,9,€-18.30m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2001,Aston Villa,€26.10m,https://www.transfermarkt.com/aston-villa/transfers/verein/405/w_s//pos//saison_id/2001,15,€16.88m,16,€-9.23m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-middlesbrough/transfers/verein/641/saison_id/2001,Middlesbrough FC,€22.70m,https://www.transfermarkt.com/fc-middlesbrough/transfers/verein/641/w_s//pos//saison_id/2001,24,€5.27m,30,€-17.43m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2001,West Ham United,€22.06m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2001,9,€18.13m,16,€-3.94m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/ipswich-town/transfers/verein/677/saison_id/2001,Ipswich Town,€20.23m,https://www.transfermarkt.com/ipswich-town/transfers/verein/677/w_s//pos//saison_id/2001,22,€13.50m,14,€-6.73m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2001,Southampton FC,€19.35m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2001,16,€14.45m,15,€-4.90m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2001,Leicester City,€19.20m,https://www.transfermarkt.com/leicester-city/transfers/verein/1003/w_s//pos//saison_id/2001,21,€3.03m,19,€-16.17m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/charlton-athletic/transfers/verein/358/saison_id/2001,Charlton Athletic,€13.50m,https://www.transfermarkt.com/charlton-athletic/transfers/verein/358/w_s//pos//saison_id/2001,14,€1.38m,16,€-12.13m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2001,Everton FC,€10.50m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2001,6,€11.93m,12,€1.43m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/derby-county/transfers/verein/22/saison_id/2001,Derby County,€4.59m,https://www.transfermarkt.com/derby-county/transfers/verein/22/w_s//pos//saison_id/2001,14,€17.50m,15,€12.92m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/bolton-wanderers/transfers/verein/355/saison_id/2001,Bolton Wanderers,€3.13m,https://www.transfermarkt.com/bolton-wanderers/transfers/verein/355/w_s//pos//saison_id/2001,26,€70k,20,€-3.06m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2002,Manchester United,€48.53m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2002,15,€3.50m,15,€-45.03m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2002,Manchester City,€44.45m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2002,15,€750k,16,€-43.70m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2002,Newcastle United,€34.55m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2002,14,€225k,14,€-34.33m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-middlesbrough/transfers/verein/641/saison_id/2002,Middlesbrough FC,€34.08m,https://www.transfermarkt.com/fc-middlesbrough/transfers/verein/641/w_s//pos//saison_id/2002,22,-,26,€-34.08m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2002,Liverpool FC,€31.50m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2002,16,€11.80m,16,€-19.70m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/saison_id/2002,Sunderland AFC,€29.68m,https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/w_s//pos//saison_id/2002,24,-,19,€-29.68m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/saison_id/2002,West Bromwich Albion,€16.95m,https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/w_s//pos//saison_id/2002,10,-,7,€-16.95m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/birmingham-city/transfers/verein/337/saison_id/2002,Birmingham City,€15.68m,https://www.transfermarkt.com/birmingham-city/transfers/verein/337/w_s//pos//saison_id/2002,22,€1.15m,19,€-14.53m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2002,Everton FC,€13.88m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2002,22,€375k,14,€-13.50m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2002,Arsenal FC,€12.83m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2002,14,€8.22m,19,€-4.61m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2002,Southampton FC,€12.00m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2002,15,-,18,€-12.00m
