,Value,Name,Season,Position,Age,Team
0,88,Nemanja Vidić,10/11,CB,27,Manchester United
1,88,Fernando Torres,10/11,ST,25,Liverpool
2,88,Steven Gerrard,10/11,CAM,29,Liverpool
3,87,Francesc Fabregas,10/11,CM,22,Arsenal
4,87,Wayne Rooney,10/11,CF,23,Manchester United
5,87,John Terry,10/11,CB,28,Chelsea
6,87,Frank Lampard,10/11,CAM,31,Chelsea
7,86,Michaël Essien,10/11,CM,26,Chelsea
8,86,Rio Ferdinand,10/11,CB,30,Manchester United
9,85,Andrey Arshavin,10/11,CF,28,Arsenal
10,85,Carlos Tévez,10/11,CF,25,Manchester City
11,85,Javier Mascherano,10/11,CDM,25,Liverpool
12,85,Robinho,10/11,LWM,25,Manchester City
13,85,Kolo Touré,10/11,CB,28,Manchester City
14,85,Petr Čech,10/11,GK,27,Chelsea
15,85,Didier Drogba,10/11,ST,31,Chelsea
16,85,Dimitar Berbatov,10/11,ST,28,Manchester United
17,85,Robin van Persie,10/11,CF,26,Arsenal
18,85,Nicolas Anelka,10/11,ST,30,Chelsea
19,85,Jamie Carragher,10/11,CB,31,Liverpool
20,84,Ashley Young,10/11,LWM,24,Aston Villa
21,84,Emmanuel Adebayor,10/11,ST,25,Manchester City
22,84,Patrice Evra,10/11,LWB,28,Manchester United
23,84,Pepe Reina,10/11,GK,27,Liverpool
24,84,Michael Carrick,10/11,CM,28,Manchester United
25,84,William Gallas,10/11,CB,32,Arsenal
26,84,Michael Ballack,10/11,CM,32,Chelsea
27,84,Ricardo Carvalho,10/11,CB,31,Chelsea
28,84,Shay Given,10/11,GK,33,Manchester City
29,84,Paul Scholes,10/11,CM,34,Manchester United
30,83,Samir Nasri,10/11,CAM,22,Arsenal
31,83,Bacary Sagna,10/11,RB,26,Arsenal
32,83,Yuriy Zhirkov,10/11,LM,26,Chelsea
33,83,Gaël Clichy,10/11,LWB,24,Arsenal
34,83,Edwin van der Sar,10/11,GK,38,Manchester United
35,83,Brede Hangeland,10/11,CB,28,Fulham
36,83,Mikel Arteta,10/11,CAM,27,Everton
37,83,Ashley Cole,10/11,LWB,28,Chelsea
38,83,John Carew,10/11,ST,29,Aston Villa
39,83,Tim Howard,10/11,GK,30,Everton
40,83,Dirk Kuyt,10/11,ST,29,Liverpool
41,83,Gareth Barry,10/11,CDM,28,Manchester City
42,83,Ryan Giggs,10/11,LM,35,Manchester United
43,83,Joe Cole,10/11,RM,27,Chelsea
44,82,Eduardo,10/11,ST,26,Arsenal
45,82,Luka Modrić,10/11,CAM,23,Tottenham Hotspur
46,82,Martin Škrtel,10/11,CB,24,Liverpool
47,82,Gabriel Agbonlahor,10/11,ST,22,Aston Villa
48,82,Joleon Lescott,10/11,CB,27,Manchester City
49,82,Alex,10/11,CB,27,Chelsea
50,82,Riera,10/11,LM,27,Liverpool
51,82,Alberto Aquilani,10/11,CM,25,Liverpool
52,82,Phil Jagielka,10/11,CB,27,Everton
53,82,Deco,10/11,CM,32,Chelsea
54,82,Florent Malouda,10/11,LM,29,Chelsea
55,82,Owen Hargreaves,10/11,CDM,28,Manchester United
56,82,Brad Friedel,10/11,GK,38,Aston Villa
57,82,Tomáš Rosický,10/11,CAM,28,Arsenal
58,82,Shaun Wright-Phillips,10/11,RWM,27,Manchester City
59,82,Bosingwa,10/11,RWB,27,Chelsea
60,82,Robbie Keane,10/11,CF,29,Tottenham Hotspur
61,81,Luis Antonio Valencia,10/11,RWM,24,Manchester United
62,81,Theo Walcott,10/11,RWM,20,Arsenal
63,81,John Obi Mikel,10/11,CDM,22,Chelsea
64,81,Leighton Baines,10/11,LB,24,Everton
65,81,Daniel Agger,10/11,CB,24,Liverpool
66,81,Nani,10/11,LWM,22,Manchester United
67,81,James Milner,10/11,RWM,23,Aston Villa
68,81,Almunia,10/11,GK,32,Arsenal
69,81,Robert Green,10/11,GK,29,West Ham United
70,81,Tim Cahill,10/11,CAM,29,Everton
71,81,Matthew Upson,10/11,CB,30,West Ham United
72,81,Jermain Defoe,10/11,ST,26,Tottenham Hotspur
73,81,Joseph Yobo,10/11,CB,28,Everton
74,81,Stiliyan Petrov,10/11,CM,30,Aston Villa
75,81,Dean Ashton,10/11,ST,25,West Ham United
76,80,Marouane Fellaini,10/11,CDM,21,Everton
77,80,Stephen Ireland,10/11,CAM,23,Manchester City
78,80,Anderson,10/11,CM,21,Manchester United
79,80,Salomon Kalou,10/11,LWM,24,Chelsea
80,80,Ryan Babel,10/11,LWM,22,Liverpool
81,80,David Bentley,10/11,RM,25,Tottenham Hotspur
82,80,Glen Johnson,10/11,RB,25,Liverpool
83,80,Lorik Cana,10/11,CDM,26,Sunderland
84,80,Andriy Voronin,10/11,ST,30,Liverpool
85,80,Yakubu,10/11,ST,26,Everton
86,80,Stewart Downing,10/11,LWM,25,Aston Villa
87,80,Jonathan Woodgate,10/11,CB,29,Tottenham Hotspur
88,80,Ji Sung Park,10/11,RM,28,Manchester United
89,80,Roque Santa Cruz,10/11,ST,28,Manchester City
90,80,Andrew Johnson,10/11,ST,28,Fulham
91,80,Yossi Benayoun,10/11,CAM,29,Liverpool
92,80,Jussi Jääskeläinen,10/11,GK,34,Bolton Wanderers
93,80,Louis Saha,10/11,ST,31,Everton
94,80,John O'Shea,10/11,RB,28,Manchester United
95,79,Vedran Ćorluka,10/11,RB,23,Tottenham Hotspur
96,79,Branislav Ivanović,10/11,CB,25,Chelsea
97,79,Alexandre Song,10/11,CDM,21,Arsenal
98,79,Thomas Vermaelen,10/11,CB,23,Arsenal
99,79,Aaron Lennon,10/11,RWM,22,Tottenham Hotspur
100,79,Diniyar Bilyaletdinov,10/11,LM,24,Everton
101,79,Jô,10/11,ST,22,Everton
102,79,Vincent Kompany,10/11,CB,23,Manchester City
103,79,Darren Fletcher,10/11,CM,25,Manchester United
104,79,Gomes,10/11,GK,28,Tottenham Hotspur
105,79,Nigel de Jong,10/11,CDM,24,Manchester City
106,79,Peter Crouch,10/11,ST,28,Tottenham Hotspur
107,79,Darren Bent,10/11,ST,25,Sunderland
108,79,John Heitinga,10/11,CB,25,Everton
109,79,Martin Petrov,10/11,LWM,30,Manchester City
110,79,Scott Parker,10/11,CM,28,West Ham United
111,79,Michael Owen,10/11,ST,29,Manchester United
112,79,Mark Schwarzer,10/11,GK,36,Fulham
113,79,David James,10/11,GK,39,Portsmouth
114,78,Denilson,10/11,CM,21,Arsenal
115,78,Lucas,10/11,CM,22,Liverpool
116,78,Sébastien Bassong,10/11,CB,23,Tottenham Hotspur
117,78,Nicklas Bendtner,10/11,ST,21,Arsenal
