,Season,Pos,Team,Pts,clearances_avg,corners_avg,fouls_conceded_avg,offsides_avg,passes_avg,possession_avg,red_cards_avg,shots_avg,shots_on_target_avg,tackles_avg,touches_avg,yellow_cards_avg,goals_scored_ft_avg,goals_conced_ft_avg,sg_match_ft_acum,goals_scored_ht_avg,goals_conced_ht_avg,sg_match_ht_acum,performance_acum
0,10/11,1,Manchester United,80,27.9,6.4,11.2,2.7,494.8,56.0,0.1,16.2,5.5,18.3,700.7,1.5,2.0,0.95,39.0,0.89,0.32,21.0,69.4
4,10/11,5,Tottenham Hotspur,62,35.8,6.7,10.5,1.5,437.0,53.5,0.1,17.1,5.0,19.9,664.5,1.4,1.43,1.22,8.0,0.7,0.7,0.0,53.2
6,10/11,7,Everton,54,33.3,6.5,13.1,2.1,380.9,51.1,0.1,15.4,4.8,20.4,599.0,1.4,1.35,1.22,5.0,0.62,0.62,0.0,45.9
7,10/11,8,Fulham,49,40.2,5.0,12.8,2.6,434.4,50.7,0.0,14.5,4.6,21.0,657.7,1.4,1.27,1.11,6.0,0.49,0.7,-8.0,43.2
8,10/11,9,Aston Villa,48,29.6,6.1,12.2,2.4,383.2,48.9,0.1,13.4,4.4,22.2,595.9,1.9,1.27,1.59,-12.0,0.59,0.7,-4.0,40.5
11,10/11,12,Newcastle United,46,27.4,5.3,12.7,2.1,373.0,50.1,0.1,13.2,4.3,17.2,581.6,2.1,1.43,1.46,-1.0,0.7,0.76,-2.0,40.5
12,10/11,13,Stoke City,46,35.0,5.0,11.7,1.9,270.0,39.0,0.1,12.6,3.7,18.5,475.8,1.8,1.24,1.27,-1.0,0.43,0.73,-11.0,41.4
13,10/11,14,Bolton Wanderers,46,39.0,5.2,13.5,1.5,335.0,46.6,0.1,15.0,4.6,24.8,563.0,1.8,1.41,1.46,-2.0,0.49,0.54,-2.0,41.4
16,10/11,17,Wolverhampton Wanderers,40,31.9,6.3,12.5,2.5,390.9,50.4,0.1,12.0,3.6,18.0,600.0,1.6,1.19,1.7,-19.0,0.59,0.76,-6.0,36.0
19,10/11,20,West Ham United,33,36.1,4.8,12.2,3.1,349.6,44.7,0.0,14.9,4.5,20.6,572.1,1.6,1.16,1.81,-24.0,0.59,0.86,-10.0,29.7
20,11/12,1,Manchester City,89,25.0,6.8,11.5,2.3,544.7,57.5,0.1,18.8,6.4,18.4,748.3,1.4,2.43,0.73,63.0,0.78,0.16,23.0,77.5
23,11/12,4,Tottenham Hotspur,69,27.6,7.3,9.9,2.5,514.3,56.8,0.1,18.5,6.1,19.1,731.1,1.2,1.73,1.11,23.0,0.78,0.41,14.0,59.5
25,11/12,6,Chelsea,64,23.6,6.6,11.2,1.8,492.1,55.7,0.1,17.6,5.9,18.5,690.3,2.0,1.7,1.22,18.0,0.73,0.43,11.0,55.0
26,11/12,7,Everton,56,29.8,4.8,12.5,3.1,397.1,48.0,0.0,13.6,4.2,16.3,598.5,1.6,1.27,1.05,8.0,0.43,0.46,-1.0,47.7
29,11/12,10,West Bromwich Albion,47,25.5,5.5,11.1,3.4,388.2,45.9,0.0,14.4,4.4,18.0,586.4,1.3,1.16,1.32,-6.0,0.49,0.65,-6.0,42.3
30,11/12,11,Swansea City,47,27.8,5.3,8.4,1.8,545.6,57.9,0.1,12.4,3.8,18.6,743.0,1.1,1.16,1.38,-8.0,0.57,0.57,0.0,39.6
31,11/12,12,Norwich City,47,38.3,4.2,10.8,1.9,395.9,46.5,0.1,13.3,4.2,18.4,598.0,1.5,1.35,1.78,-16.0,0.59,0.78,-7.0,39.6
32,11/12,13,Sunderland,45,30.6,4.9,10.7,2.1,366.9,44.8,0.1,12.2,3.8,21.7,574.2,1.5,1.22,1.22,0.0,0.54,0.46,3.0,40.5
33,11/12,14,Stoke City,45,49.8,4.4,11.9,1.6,285.0,40.0,0.1,9.7,2.4,17.4,496.8,1.6,0.92,1.38,-17.0,0.35,0.73,-14.0,39.6
34,11/12,15,Wigan Athletic,43,24.6,5.5,12.7,1.9,412.4,50.2,0.1,13.6,4.2,19.1,603.3,1.8,1.05,1.62,-21.0,0.49,0.7,-8.0,36.0
41,12/13,2,Manchester City,78,28.2,7.1,12.4,2.0,528.8,58.0,0.1,17.5,6.2,18.0,725.9,1.6,1.73,0.84,33.0,0.68,0.32,13.0,70.3
42,12/13,3,Chelsea,75,26.1,6.3,10.6,2.1,487.7,54.7,0.1,16.3,5.6,18.6,685.7,1.3,1.97,1.03,35.0,1.03,0.38,24.0,64.9
44,12/13,5,Tottenham Hotspur,72,42.1,6.7,10.4,2.0,437.3,52.6,0.1,17.5,6.1,19.6,660.2,1.5,1.76,1.24,19.0,0.59,0.49,4.0,62.2
46,12/13,7,Liverpool,61,24.4,7.3,10.7,2.9,519.1,56.9,0.1,19.2,6.1,21.1,727.3,1.4,1.89,1.16,27.0,0.78,0.62,6.0,52.3
47,12/13,8,West Bromwich Albion,49,28.8,5.4,11.5,2.6,379.6,46.1,0.1,13.2,4.4,18.4,567.9,1.7,1.3,1.41,-4.0,0.46,0.7,-9.0,43.2
48,12/13,9,Swansea City,46,36.4,5.0,10.7,2.2,521.3,55.1,0.1,12.9,4.2,18.0,723.8,1.5,1.27,1.3,-1.0,0.38,0.65,-10.0,41.4
49,12/13,10,West Ham United,46,40.2,5.5,12.4,2.1,330.8,43.6,0.0,12.7,4.0,19.2,543.6,1.9,1.11,1.38,-10.0,0.54,0.54,0.0,38.7
53,12/13,14,Southampton,41,33.6,5.6,10.8,2.2,440.2,52.2,0.1,13.6,4.3,21.6,666.4,1.2,1.3,1.59,-11.0,0.62,0.84,-8.0,36.0
55,12/13,16,Newcastle United,41,42.2,5.4,12.1,2.2,382.0,48.6,0.1,14.2,4.7,19.2,604.1,1.9,1.22,1.81,-22.0,0.54,0.62,-3.0,36.9
57,12/13,18,Wigan Athletic,36,23.8,5.2,11.9,2.2,470.7,54.4,0.1,13.1,4.5,18.7,661.9,1.7,1.22,1.92,-26.0,0.43,0.73,-11.0,31.5
60,13/14,1,Manchester City,86,24.9,7.3,10.5,1.5,545.3,57.3,0.0,17.4,6.2,20.0,745.1,1.9,2.7,1.0,63.0,1.22,0.38,31.0,74.8
61,13/14,2,Liverpool,84,35.5,5.9,10.9,2.0,511.5,55.5,0.0,17.2,6.8,22.5,738.4,1.4,2.68,1.32,50.0,1.59,0.54,39.0,73.0
65,13/14,6,Tottenham Hotspur,69,25.8,6.1,10.7,1.5,469.6,54.9,0.1,15.6,5.0,19.8,689.2,1.8,1.41,1.38,1.0,0.46,0.68,-8.0,59.5
67,13/14,8,Southampton,56,32.0,5.5,11.5,2.6,515.1,58.6,0.0,14.0,4.7,21.4,739.0,1.5,1.43,1.22,8.0,0.73,0.51,8.0,49.5
73,13/14,14,Sunderland,38,23.7,4.9,11.8,1.9,379.9,46.0,0.2,12.7,3.6,18.5,576.3,1.8,1.08,1.54,-17.0,0.54,0.68,-5.0,34.2
75,13/14,16,Hull City,37,27.6,4.2,11.2,2.3,400.2,45.3,0.1,11.2,3.5,19.1,604.3,1.4,1.03,1.38,-13.0,0.51,0.65,-5.0,33.3
76,13/14,17,West Bromwich Albion,36,31.3,4.8,11.5,2.4,387.7,46.3,0.0,12.7,3.8,18.5,603.2,1.8,1.14,1.54,-15.0,0.51,0.89,-14.0,32.4
77,13/14,18,Norwich City,33,28.4,5.2,11.3,1.2,388.0,45.9,0.1,12.3,3.9,17.9,594.5,1.6,0.76,1.62,-32.0,0.27,0.84,-21.0,29.7
78,13/14,19,Fulham,32,35.6,5.1,10.2,2.3,383.2,43.6,0.0,11.2,3.9,18.4,596.1,1.5,1.03,2.24,-45.0,0.35,0.65,-11.0,27.9
79,13/14,20,Cardiff City,30,33.5,5.2,9.1,2.2,370.0,45.0,0.0,11.0,3.3,16.2,580.6,1.3,0.84,1.95,-41.0,0.24,0.89,-24.0,27.0
80,14/15,1,Chelsea,87,27.5,5.8,10.0,2.0,531.1,55.5,0.1,14.6,5.5,20.3,731.3,1.9,1.89,0.84,39.0,0.97,0.43,20.0,75.7
81,14/15,2,Manchester City,79,22.8,7.3,11.7,2.1,584.6,59.8,0.1,17.7,6.0,19.9,783.3,2.1,2.19,1.03,43.0,0.97,0.43,20.0,68.5
82,14/15,3,Arsenal,75,26.8,6.7,10.0,1.7,537.6,56.4,0.1,15.8,5.8,19.6,763.2,1.8,1.81,0.95,32.0,0.86,0.35,19.0,64.9
88,14/15,9,Stoke City,54,30.7,5.2,12.8,2.0,404.2,50.4,0.0,13.1,3.4,19.2,615.9,2.1,1.14,1.19,-2.0,0.68,0.65,1.0,45.9
89,14/15,10,Crystal Palace,48,33.7,5.5,13.6,2.0,317.0,40.0,0.1,11.6,3.6,20.8,535.7,1.6,1.24,1.38,-5.0,0.46,0.62,-6.0,40.5
90,14/15,11,Everton,47,34.1,5.2,10.2,2.2,497.3,55.0,0.1,12.8,4.5,17.4,706.5,1.8,1.3,1.32,-1.0,0.65,0.49,6.0,42.3
93,14/15,14,Leicester City,41,31.1,5.6,12.1,1.5,351.2,43.3,0.1,11.7,3.5,20.9,567.1,1.3,1.11,1.46,-13.0,0.51,0.73,-8.0,34.2
94,14/15,15,Newcastle United,39,27.2,5.9,11.5,1.0,397.2,47.7,0.2,12.2,3.8,21.6,617.2,1.7,1.03,1.7,-25.0,0.35,0.76,-15.0,32.4
